"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"122","RT @i3waitematadhb: Huge feast for @eCALD_Resources celebration #ChineseNewYear https://t.co/AU8NPcCuvZ",FALSE,0,NA,2018-02-26 10:11:05,FALSE,NA,"968065875998732289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jarrardobrien",4,TRUE,FALSE,NA,NA
"123","RT @i3waitematadhb: Special event with our @eCALD_Resources team celebrating their work and #ChineseNewYear https://t.co/H6CLFSx2RM",FALSE,0,NA,2018-02-26 10:10:56,FALSE,NA,"968065840754016256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jarrardobrien",3,TRUE,FALSE,NA,NA
"124","RT @jamesohanlon49: Dragon / Lion dance as part of #ChineseNewYear #ChineseNewYear2018 @SockFu at the @LeverArtGallery @NML_Muse video of t…",FALSE,0,NA,2018-02-26 10:05:35,FALSE,NA,"968064492843229185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeverArtGallery",3,TRUE,FALSE,NA,NA
"125","RT @farmville2: #FridayFeeling <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>Lee <ed><U+00A0><U+00BD><ed><U+00B1><U+00B2> and Lum Lum <ed><U+00A0><U+00BD><ed><U+00B0><U+00BC>will help you find rare items on #FarmVille2CountryEscape #ChineseNewYear Event!<ed><U+00A0><U+00BC><ed><U+00BE><U+0087><ed><U+00A0><U+00BD><ed><U+00B0><U+0089>
Play…",FALSE,0,NA,2018-02-26 10:05:05,FALSE,NA,"968064368717058048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Leslie91510927",4,TRUE,FALSE,NA,NA
"126","RT @HeatherKTVU: After a great night at #SanFrancisco's #ChineseNewYear parade, it's back to work tonight.  Join me &amp; @KenWayneKTVU right n…",FALSE,0,NA,2018-02-26 10:04:50,FALSE,NA,"968064303604494338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ezedozitt21",2,TRUE,FALSE,NA,NA
"127","RT @farmville2: #FridayFeeling <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>What Phase are you currently on? Share your #ChineseNewYear event experience on #FarmVille2CountryEscape<ed><U+00A0><U+00BD><ed><U+00B1><U+00A8><U+200D><ed><U+00A0><U+00BC><ed><U+00BC><U+00BE>…",FALSE,0,NA,2018-02-26 10:04:30,FALSE,NA,"968064219123011584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Leslie91510927",3,TRUE,FALSE,NA,NA
"128","RT @farmville2: #FridayFun  <ed><U+00A0><U+00BE><ed><U+00B4><U+00A9>Make sure to check the x3<U+20E3>and x5<U+20E3>tickbox<U+2705> before crafting for a higher chance of unlocking the #ChineseNewYear…",FALSE,0,NA,2018-02-26 10:04:04,FALSE,NA,"968064110817619968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Leslie91510927",7,TRUE,FALSE,NA,NA
"129","RT @farmville2: Send your Farm Hands to Explore the <ed><U+00A0><U+00BC><ed><U+00BE><U+0090>Hall Of Wonder<ed><U+00A0><U+00BD><ed><U+00B0><U+00B2> and find rare <ed><U+00A0><U+00BD><ed><U+00B0><U+0089>#ChineseNewYear<ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> event items on #FarmVille2CountryEscap…",FALSE,0,NA,2018-02-26 10:03:47,FALSE,NA,"968064041477464064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Leslie91510927",9,TRUE,FALSE,NA,NA
"130","RT @KitchenLandmark: Happy #ChineseNewYear special day organised by the @KitchenLandmark in @landmarklondon Enjoy! https://t.co/oYm8VWWNTF",FALSE,0,NA,2018-02-26 10:01:47,FALSE,NA,"968063535916908545",NA,"<a href=""http://www.falcon.io"" rel=""nofollow"">Falcon Social Media Management </a>","LLHCareers",2,TRUE,FALSE,NA,NA
"131","Would you like to win 25% off your lunch or dinner food bill at Grafene?  

To celebrate Chinese New Year, we have… https://t.co/AV0l3O7t8l",FALSE,1,NA,2018-02-26 10:00:04,TRUE,NA,"968063105371639808",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","grafeneMCR",1,FALSE,FALSE,NA,NA
"132","@CraigGardener These guys look absolutely adorable Craig! They're welcome back anytime. #DogsRule #ChineseNewYear",FALSE,0,"CraigGardener",2018-02-26 09:59:34,FALSE,"967125182845456385","968062980473720832","2419829677","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Metro_Bank",0,FALSE,FALSE,NA,NA
